ax,ay,az,gx,gy,gz
0.68, -0.78, -0.21, -13.52, 5.42, 19.55
0.62, -0.81, -0.21, -22.43, 10.55, 22.38
0.53, -0.85, -0.22, -28.35, 12.61, 23.63
0.47, -0.84, -0.26, -28.06, 0.92, 19.22
0.39, -0.85, -0.33, -24.16, -14.34, 13.79
0.27, -0.88, -0.43, -16.12, -18.27, 0.13
0.08, -0.88, -0.51, -8.59, -8.60, -10.49
0.02, -0.88, -0.48, -3.52, 7.19, -23.45
0.14, -0.86, -0.43, 6.46, 3.22, -30.58
0.27, -0.85, -0.40, 9.80, 7.99, -31.95
0.37, -0.85, -0.34, 10.45, 8.83, -29.75
0.48, -0.81, -0.26, 4.69, 11.55, -16.64
0.68, -0.77, -0.17, -3.23, 12.60, -1.32
0.85, -0.74, -0.11, -10.66, 3.98, 12.61
0.81, -0.72, -0.10, -19.07, 3.39, 18.69
0.66, -0.74, -0.15, -31.40, 9.51, 22.51
0.50, -0.76, -0.20, -37.36, 11.01, 21.05
0.42, -0.77, -0.27, -40.15, 12.59, 17.17
0.35, -0.80, -0.33, -41.64, 3.24, 10.89
0.27, -0.80, -0.39, -34.22, -10.54, 7.74
0.22, -0.80, -0.47, -22.43, -20.70, -2.17
0.14, -0.83, -0.52, -13.48, -13.06, -9.93
0.09, -0.84, -0.51, -4.59, 4.95, -16.32
0.17, -0.80, -0.46, 4.67, 10.01, -19.38
0.31, -0.81, -0.40, 6.56, 16.09, -16.37
0.44, -0.82, -0.32, 9.36, 10.77, -13.46
0.51, -0.79, -0.27, 5.14, 6.21, -5.37
0.59, -0.79, -0.20, -2.98, 12.72, 7.20
0.72, -0.78, -0.13, -11.76, 6.97, 16.32
0.75, -0.78, -0.11, -21.59, 4.18, 23.24
0.67, -0.81, -0.13, -31.44, 4.13, 24.95
0.56, -0.83, -0.18, -35.51, 6.07, 23.99
0.46, -0.83, -0.26, -41.11, 6.42, 20.02
0.35, -0.82, -0.36, -34.34, -3.19, 13.00
0.23, -0.82, -0.45, -25.77, -16.66, 4.19
0.10, -0.84, -0.53, -9.92, -17.82, -8.10
0.05, -0.86, -0.56, -4.68, -1.80, -16.34
0.08, -0.83, -0.50, 8.76, 9.13, -24.67
0.22, -0.80, -0.44, 14.43, 10.94, -23.01
