ax,ay,az,gx,gy,gz
0.61, -0.70, -0.37, -1.75, 24.85, -21.94
0.85, -0.60, -0.32, -11.79, 25.29, 0.02
0.99, -0.53, -0.28, -22.46, 19.12, 22.03
0.96, -0.54, -0.30, -31.92, 12.61, 39.22
0.75, -0.61, -0.35, -42.15, 14.87, 49.26
0.51, -0.67, -0.38, -45.96, 29.95, 56.81
0.34, -0.72, -0.39, -41.62, 31.77, 53.50
0.23, -0.78, -0.42, -29.78, -11.31, 35.50
0.04, -0.89, -0.49, -9.76, -64.00, 13.99
-0.19, -1.00, -0.63, 1.95, -64.00, -12.17
-0.41, -1.01, -0.61, 3.67, -12.29, -30.12
-0.28, -0.91, -0.48, 13.20, 28.97, -48.37
0.07, -0.79, -0.46, 21.96, 15.27, -56.90
0.29, -0.78, -0.47, 21.69, -8.84, -51.04
0.43, -0.79, -0.47, 16.82, -7.12, -39.03
0.58, -0.72, -0.44, 6.71, 12.43, -24.73
0.69, -0.65, -0.35, -7.69, 11.63, -11.72
0.75, -0.59, -0.29, -20.73, 13.81, 9.51
0.84, -0.57, -0.31, -29.97, 22.30, 27.22
0.79, -0.60, -0.34, -37.64, 19.88, 41.83
0.63, -0.66, -0.37, -43.20, 18.69, 49.19
0.45, -0.73, -0.39, -40.42, 16.13, 52.45
0.37, -0.80, -0.40, -33.38, 2.13, 49.12
0.29, -0.89, -0.47, -17.91, -25.87, 31.94
0.02, -0.96, -0.56, -11.71, -47.16, 2.02
-0.32, -1.02, -0.55, -6.09, -31.21, -21.50
-0.36, -0.99, -0.55, 0.91, 14.09, -37.50
-0.11, -0.89, -0.51, 12.68, 12.92, -51.11
0.17, -0.83, -0.50, 19.67, -10.85, -51.33
0.39, -0.82, -0.50, 22.36, -16.75, -43.63
0.49, -0.75, -0.45, 16.46, -8.40, -36.46
0.52, -0.70, -0.38, 6.88, 8.42, -23.36
0.61, -0.60, -0.32, -5.60, 13.96, -5.38
0.74, -0.59, -0.29, -18.41, 15.85, 12.89
0.80, -0.59, -0.29, -26.47, 7.66, 27.45
0.70, -0.61, -0.33, -34.50, 6.76, 38.32
0.53, -0.67, -0.37, -42.22, 11.33, 42.45
0.37, -0.72, -0.40, -42.15, 16.50, 46.16
0.34, -0.78, -0.46, -30.19, 13.51, 42.25
0.25, -0.87, -0.53, -18.22, -19.62, 23.75
-0.07, -0.97, -0.56, -11.72, -44.77, -0.74
-0.27, -1.04, -0.58, -4.47, -21.39, -20.62
-0.22, -1.02, -0.57, 3.16, 4.52, -38.90
-0.03, -0.92, -0.50, 11.83, 8.65, -51.41
0.19, -0.85, -0.49, 19.61, -0.21, -53.50
0.33, -0.84, -0.49, 16.30, 10.30, -45.27
0.45, -0.79, -0.41, 8.24, 31.69, -33.84
0.58, -0.71, -0.32, -1.98, 39.21, -20.19
0.72, -0.62, -0.25, -14.92, 34.89, -0.50
0.83, -0.59, -0.23, -24.21, 30.49, 18.72
0.87, -0.58, -0.27, -31.40, 22.13, 34.01
0.74, -0.60, -0.32, -38.35, 19.20, 44.49
0.51, -0.65, -0.37, -43.08, 39.55, 50.65
0.35, -0.70, -0.37, -42.56, 38.69, 46.56
0.25, -0.79, -0.37, -32.56, 7.45, 40.96
0.21, -0.93, -0.48, -19.28, -46.02, 22.90
0.06, -1.00, -0.57, -6.30, -62.56, 4.30
-0.25, -1.02, -0.60, -1.95, -42.81, -26.60
-0.36, -0.95, -0.52, 5.80, 11.66, -40.19
-0.08, -0.85, -0.48, 14.88, 26.29, -53.10
0.15, -0.81, -0.48, 18.24, -1.92, -57.65
0.30, -0.84, -0.49, 23.47, -6.18, -47.36
0.46, -0.82, -0.51, 13.26, 7.33, -37.29
0.58, -0.74, -0.38, 2.66, 13.46, -21.55
0.71, -0.65, -0.27, -9.48, 11.28, 1.10
0.91, -0.59, -0.25, -22.74, 16.15, 24.69
0.96, -0.57, -0.24, -31.71, 12.84, 39.10
0.80, -0.61, -0.25, -41.17, 15.54, 48.79
0.55, -0.70, -0.33, -50.45, 22.01, 54.26
0.42, -0.76, -0.38, -53.63, 37.23, 63.59
0.39, -0.80, -0.37, -49.34, 16.47, 54.68
0.27, -0.87, -0.39, -31.02, -44.53, 35.87
0.10, -0.98, -0.55, -13.23, -64.00, 17.55
-0.21, -1.04, -0.64, -3.32, -64.00, -22.65
