ax,ay,az,gx,gy,gz
0.45, -0.67, -0.39, -1.83, 6.87, -0.47
0.50, -0.64, -0.34, -9.59, 15.73, 10.61
0.50, -0.64, -0.28, -18.08, 23.52, 21.35
0.46, -0.68, -0.27, -27.00, 29.56, 30.87
0.42, -0.71, -0.30, -31.51, 27.19, 37.54
0.37, -0.76, -0.31, -33.04, 10.82, 40.82
0.31, -0.84, -0.35, -28.58, -8.69, 38.77
0.21, -0.94, -0.41, -21.31, -26.57, 29.22
0.04, -1.03, -0.44, -18.98, -28.93, 9.43
-0.17, -1.07, -0.47, -13.13, -11.24, -11.18
-0.21, -1.03, -0.50, -9.36, 17.18, -26.94
-0.06, -0.96, -0.49, -5.51, 28.99, -35.57
0.11, -0.90, -0.45, -1.32, 24.22, -36.95
0.25, -0.85, -0.43, 0.33, 10.20, -36.16
0.30, -0.82, -0.42, 0.13, -2.83, -30.77
0.34, -0.77, -0.39, -1.79, -9.07, -22.41
0.40, -0.71, -0.38, -4.84, -0.81, -10.22
0.47, -0.66, -0.35, -8.71, 8.54, 0.95
0.50, -0.63, -0.32, -15.84, 21.62, 15.45
0.50, -0.64, -0.31, -23.02, 28.02, 25.76
0.45, -0.68, -0.30, -29.27, 33.01, 34.00
0.39, -0.73, -0.31, -32.43, 25.45, 39.66
0.34, -0.78, -0.32, -31.34, 8.67, 41.42
0.29, -0.87, -0.33, -25.98, -16.47, 37.74
0.17, -0.98, -0.39, -21.81, -35.46, 25.25
-0.07, -1.03, -0.45, -15.64, -35.36, 3.14
-0.27, -1.02, -0.51, -9.13, -9.69, -19.28
-0.28, -0.99, -0.52, -5.14, 20.44, -35.38
-0.07, -0.91, -0.50, 1.63, 24.39, -42.27
0.13, -0.85, -0.47, 5.81, 17.05, -42.02
0.31, -0.82, -0.43, 5.30, -1.69, -39.80
0.37, -0.78, -0.41, 5.12, -11.86, -27.25
0.49, -0.72, -0.41, 2.92, -0.21, -9.44
0.61, -0.68, -0.38, -2.12, 12.23, 6.68
0.61, -0.65, -0.29, -12.40, 21.53, 18.33
0.53, -0.68, -0.24, -22.31, 31.83, 31.37
0.45, -0.72, -0.26, -31.04, 38.01, 38.08
0.36, -0.74, -0.28, -36.16, 29.04, 39.59
0.30, -0.79, -0.29, -36.85, 12.27, 41.83
0.26, -0.86, -0.33, -33.72, -15.39, 37.03
0.16, -0.93, -0.39, -25.43, -37.13, 24.88
-0.05, -0.99, -0.43, -17.59, -43.01, 4.40
-0.24, -1.02, -0.50, -11.61, -20.27, -17.20
-0.28, -0.99, -0.51, -8.32, 16.08, -31.83
-0.11, -0.91, -0.48, -2.73, 26.33, -38.52
