ax,ay,az,gx,gy,gz
0.59, -0.69, -0.35, -7.76, 29.36, 5.83
0.62, -0.66, -0.20, -17.73, 30.71, 16.62
0.58, -0.67, -0.15, -30.35, 32.84, 28.55
0.49, -0.71, -0.20, -43.23, 35.87, 36.19
0.33, -0.73, -0.23, -52.40, 39.07, 39.88
0.25, -0.75, -0.25, -54.28, 3.98, 41.25
0.28, -0.81, -0.33, -35.07, -42.10, 40.39
0.24, -0.90, -0.45, -21.32, -64.00, 28.90
-0.14, -0.97, -0.49, -18.03, -51.34, 0.98
-0.55, -0.98, -0.48, -13.59, -21.68, -27.34
-0.49, -0.97, -0.52, -6.67, 30.21, -37.43
-0.11, -0.91, -0.53, 4.97, 26.89, -48.47
0.17, -0.88, -0.47, 11.12, 6.19, -46.52
0.33, -0.87, -0.46, 15.21, -19.57, -42.38
0.44, -0.85, -0.46, 15.70, -29.58, -29.88
0.50, -0.81, -0.46, 10.68, -7.91, -12.04
0.57, -0.76, -0.34, -0.78, 22.85, 3.37
0.64, -0.70, -0.24, -13.15, 44.66, 17.76
0.65, -0.69, -0.17, -25.26, 40.71, 26.49
0.52, -0.75, -0.18, -41.58, 41.08, 36.20
0.36, -0.78, -0.22, -52.06, 34.61, 41.65
0.25, -0.76, -0.26, -54.46, 8.21, 41.38
0.25, -0.79, -0.31, -35.73, -31.42, 35.23
0.20, -0.88, -0.44, -22.04, -56.81, 24.42
-0.15, -0.92, -0.52, -16.49, -39.36, -2.54
-0.48, -0.95, -0.50, -11.06, -5.19, -19.92
-0.35, -0.98, -0.54, -5.11, 36.39, -28.58
-0.02, -0.94, -0.52, 5.48, 24.19, -32.90
0.19, -0.87, -0.48, 12.82, 14.62, -29.95
0.36, -0.85, -0.43, 14.69, 0.42, -28.10
0.40, -0.84, -0.36, 10.44, -2.80, -21.94
0.39, -0.82, -0.33, 0.92, 5.13, -13.09
0.42, -0.77, -0.32, -11.53, 24.49, 2.64
0.54, -0.73, -0.26, -20.53, 30.59, 13.67
0.58, -0.72, -0.21, -29.52, 20.45, 21.47
0.51, -0.76, -0.22, -38.66, 15.19, 31.73
0.38, -0.77, -0.26, -45.66, 15.72, 36.92
0.30, -0.78, -0.26, -44.53, 10.82, 36.10
0.28, -0.84, -0.29, -33.54, -19.67, 29.60
0.15, -0.91, -0.41, -27.57, -29.56, 20.88
-0.14, -0.93, -0.49, -22.38, -19.15, -1.61
-0.30, -0.96, -0.48, -15.46, 1.88, -16.24
-0.18, -0.97, -0.53, -8.13, 16.03, -23.66
0.00, -0.91, -0.52, 2.81, 10.75, -29.16
0.14, -0.84, -0.49, 8.94, 12.18, -29.95
0.23, -0.83, -0.46, 8.89, 9.60, -30.45
0.27, -0.83, -0.41, 7.60, 10.00, -26.04
0.31, -0.80, -0.39, 2.04, 5.54, -20.12
0.38, -0.76, -0.37, -2.40, 4.69, -6.38
0.48, -0.71, -0.37, -8.94, 21.74, 10.36
0.57, -0.70, -0.30, -18.03, 25.27, 17.26
0.55, -0.75, -0.19, -30.43, 25.97, 29.30
0.47, -0.80, -0.20, -40.87, 20.82, 33.39
0.32, -0.82, -0.25, -45.64, 6.26, 33.81
0.24, -0.84, -0.31, -43.11, -11.44, 33.26
0.17, -0.88, -0.41, -29.30, -30.70, 22.72
-0.00, -0.94, -0.47, -20.04, -49.03, 2.83
-0.28, -0.98, -0.51, -11.84, -29.49, -16.86
-0.36, -0.95, -0.54, -9.04, 13.14, -31.72
-0.15, -0.87, -0.53, 1.21, 32.27, -37.23
0.10, -0.83, -0.48, 6.73, 27.98, -37.29
0.28, -0.85, -0.42, 7.29, 8.87, -33.89
0.36, -0.84, -0.40, 8.53, -6.94, -28.50
0.42, -0.78, -0.41, 5.60, -10.52, -15.10
0.49, -0.74, -0.41, -0.91, 13.10, 0.75
0.54, -0.70, -0.31, -10.90, 21.18, 6.52
0.54, -0.70, -0.21, -20.46, 23.61, 18.41
0.50, -0.74, -0.21, -31.88, 25.92, 25.28
0.41, -0.78, -0.23, -41.55, 24.44, 30.79
0.32, -0.80, -0.25, -47.36, 17.87, 34.92
0.30, -0.84, -0.29, -46.27, -7.59, 37.79
0.28, -0.88, -0.36, -33.05, -38.03, 31.18
0.15, -0.93, -0.45, -20.41, -55.87, 17.86
-0.14, -0.96, -0.51, -12.14, -41.07, -4.75
-0.42, -0.95, -0.57, -8.45, 0.22, -25.57
-0.39, -0.91, -0.59, -0.45, 41.73, -37.45
-0.10, -0.85, -0.54, 9.33, 43.48, -42.95
0.17, -0.84, -0.49, 13.84, 28.20, -41.38
0.32, -0.85, -0.43, 13.44, 4.77, -39.71
0.38, -0.83, -0.39, 10.53, -15.74, -30.57
0.47, -0.78, -0.42, 4.57, 8.47, -5.67
0.61, -0.72, -0.38, -6.94, 25.90, 3.10
0.64, -0.70, -0.20, -17.95, 29.42, 17.26
0.64, -0.73, -0.16, -30.46, 27.23, 28.40
0.52, -0.76, -0.21, -43.20, 26.14, 33.03
0.34, -0.77, -0.23, -51.74, 29.05, 36.08
0.24, -0.79, -0.27, -55.26, 10.54, 36.86
0.23, -0.83, -0.34, -44.96, -29.17, 34.53
0.17, -0.88, -0.45, -23.67, -64.00, 19.34
-0.08, -0.92, -0.53, -12.88, -61.20, -3.50
-0.43, -0.92, -0.56, -5.04, -20.57, -25.63
-0.45, -0.91, -0.57, 0.29, 30.96, -35.79
-0.12, -0.85, -0.55, 10.91, 37.58, -41.67
0.13, -0.82, -0.50, 18.49, 20.20, -42.49
0.30, -0.83, -0.44, 19.80, -5.36, -42.29
0.37, -0.84, -0.40, 18.78, -29.34, -34.75
0.45, -0.80, -0.42, 12.66, -2.64, -11.03
0.58, -0.73, -0.39, 1.15, 23.35, -1.63
0.63, -0.71, -0.23, -9.03, 26.68, 12.83
0.66, -0.76, -0.16, -25.46, 31.56, 26.55
0.60, -0.80, -0.18, -38.49, 29.09, 33.79
0.41, -0.82, -0.20, -51.42, 35.25, 36.14
0.30, -0.82, -0.23, -56.37, 21.67, 37.47
0.27, -0.82, -0.32, -48.38, -10.18, 37.65
