ax,ay,az,gx,gy,gz
0.76, -0.61, -0.29, -13.72, 24.96, 17.25
0.82, -0.56, -0.26, -16.45, 20.08, 26.17
0.68, -0.63, -0.30, -32.37, 25.48, 37.88
0.44, -0.75, -0.32, -44.31, 30.94, 43.82
0.29, -0.77, -0.32, -45.19, 31.23, 43.67
0.24, -0.78, -0.36, -33.67, -3.75, 32.13
0.18, -0.89, -0.48, -27.71, -17.30, 29.87
-0.01, -0.97, -0.52, -24.76, -23.04, 10.47
-0.24, -0.94, -0.50, -9.24, -15.15, -14.08
-0.26, -0.93, -0.56, -7.75, 6.14, -22.29
-0.08, -0.92, -0.54, -1.04, 11.52, -32.40
0.11, -0.85, -0.49, 4.49, 0.07, -39.19
0.23, -0.82, -0.47, 1.71, -7.15, -36.15
0.34, -0.80, -0.46, 1.48, -5.32, -29.12
0.45, -0.75, -0.44, -0.62, -2.02, -16.66
0.58, -0.72, -0.42, -7.14, 11.64, 0.44
0.68, -0.72, -0.37, -14.87, 23.65, 12.91
0.68, -0.74, -0.31, -24.30, 26.71, 23.60
0.56, -0.79, -0.30, -34.74, 30.75, 31.42
0.42, -0.81, -0.32, -39.09, 27.81, 31.99
0.29, -0.80, -0.37, -35.93, 9.19, 25.57
0.14, -0.83, -0.47, -23.92, -22.90, 13.88
-0.07, -0.88, -0.56, -10.76, -35.09, -5.83
-0.29, -0.91, -0.57, -6.66, -19.98, -22.40
-0.31, -0.88, -0.52, -0.54, 14.24, -37.42
-0.12, -0.81, -0.46, 8.12, 8.45, -45.40
0.09, -0.78, -0.44, 10.76, 4.47, -42.28
0.27, -0.78, -0.46, 9.35, -8.53, -32.93
0.45, -0.72, -0.46, 7.30, 4.91, -11.69
0.61, -0.64, -0.42, 3.50, 11.26, 0.46
0.68, -0.63, -0.32, -8.00, 19.48, 18.79
0.72, -0.67, -0.25, -17.92, 28.98, 29.40
0.67, -0.72, -0.27, -31.03, 30.57, 36.29
0.52, -0.76, -0.31, -43.57, 29.89, 40.26
0.38, -0.79, -0.34, -47.60, 28.29, 40.45
0.32, -0.83, -0.39, -44.89, 11.31, 34.51
0.23, -0.88, -0.46, -34.47, -10.71, 23.29
0.03, -0.93, -0.53, -22.64, -30.36, 5.01
-0.22, -0.98, -0.60, -9.67, -27.48, -17.79
-0.31, -1.00, -0.60, -5.54, 8.44, -30.76
-0.16, -0.93, -0.55, 6.27, 15.65, -48.23
0.05, -0.86, -0.51, 15.68, 3.16, -52.58
0.24, -0.85, -0.49, 12.79, -4.74, -41.41
0.47, -0.81, -0.45, 6.43, 13.67, -23.41
0.64, -0.70, -0.33, -0.59, 16.81, -9.45
0.73, -0.64, -0.22, -14.81, 20.77, 11.59
0.79, -0.64, -0.17, -22.37, 19.29, 23.50
0.72, -0.67, -0.21, -31.61, 14.08, 29.89
0.49, -0.73, -0.26, -45.00, 16.63, 34.99
0.29, -0.76, -0.29, -49.23, 21.46, 36.59
0.24, -0.77, -0.38, -41.39, -2.75, 31.75
0.16, -0.79, -0.48, -26.37, -30.65, 21.97
-0.04, -0.85, -0.57, -11.68, -41.01, 2.76
-0.26, -0.93, -0.59, -3.00, -39.88, -18.21
-0.32, -0.96, -0.57, 0.67, 5.84, -28.51
-0.13, -0.89, -0.54, 10.69, 10.49, -43.23
0.09, -0.82, -0.51, 16.32, 1.04, -41.38
0.30, -0.81, -0.52, 14.61, 0.62, -27.10
0.51, -0.77, -0.48, 7.66, 8.47, -11.00
0.65, -0.70, -0.39, 0.30, 14.54, 7.85
0.74, -0.64, -0.28, -9.90, 19.95, 19.69
0.76, -0.66, -0.24, -19.41, 21.13, 25.42
0.63, -0.74, -0.27, -36.46, 25.18, 33.33
0.45, -0.81, -0.29, -48.03, 28.46, 38.26
0.34, -0.83, -0.31, -49.65, 20.92, 37.88
0.28, -0.85, -0.39, -37.58, -14.90, 29.65
0.13, -0.87, -0.52, -20.36, -34.42, 15.73
-0.11, -0.93, -0.59, -7.13, -45.94, -12.74
-0.37, -0.99, -0.59, -6.08, -12.46, -25.94
-0.30, -0.95, -0.54, 1.58, 23.82, -42.43
-0.03, -0.85, -0.51, 10.22, 12.78, -48.78
0.19, -0.81, -0.50, 13.12, 2.98, -41.51
0.39, -0.79, -0.49, 6.97, 4.83, -26.59
0.59, -0.72, -0.41, -0.97, 21.12, -6.02
0.70, -0.65, -0.29, -9.84, 20.35, 8.73
0.78, -0.64, -0.22, -17.72, 23.27, 21.55
0.73, -0.67, -0.26, -28.35, 22.66, 30.39
0.49, -0.73, -0.31, -41.29, 26.29, 34.42
0.30, -0.77, -0.34, -45.81, 29.09, 36.62
0.24, -0.78, -0.38, -39.99, 8.36, 33.00
0.17, -0.82, -0.48, -23.87, -28.62, 20.22
-0.01, -0.88, -0.58, -7.05, -47.10, -1.18
-0.27, -0.96, -0.60, -3.72, -29.99, -20.60
-0.33, -0.97, -0.55, -2.10, 14.32, -33.26
-0.16, -0.89, -0.51, 9.38, 13.46, -46.24
0.10, -0.82, -0.49, 14.78, 2.86, -45.06
0.31, -0.83, -0.50, 11.51, -3.14, -37.25
0.44, -0.81, -0.50, 6.22, 6.96, -21.93
0.59, -0.71, -0.41, 0.64, 17.48, -7.22
0.70, -0.65, -0.30, -6.32, 21.14, 8.66
0.78, -0.66, -0.24, -16.68, 23.10, 19.44
0.73, -0.71, -0.27, -26.12, 24.34, 27.45
0.53, -0.77, -0.30, -39.43, 28.56, 34.04
0.33, -0.80, -0.32, -43.57, 33.30, 35.46
0.25, -0.81, -0.36, -40.42, 13.61, 30.40
0.20, -0.85, -0.44, -27.96, -26.11, 21.15
0.04, -0.90, -0.53, -12.07, -41.15, 1.17
-0.20, -0.93, -0.58, -5.04, -38.81, -23.48
-0.33, -0.94, -0.57, -3.42, 6.77, -32.53
-0.17, -0.84, -0.52, 6.58, 16.30, -46.88
0.07, -0.81, -0.49, 12.71, 6.08, -47.98
0.25, -0.82, -0.49, 11.23, -2.73, -38.12
0.46, -0.79, -0.47, 6.61, 6.20, -21.35
0.65, -0.70, -0.38, -0.69, 15.91, -4.81
0.74, -0.65, -0.27, -9.38, 20.71, 12.04
0.81, -0.66, -0.21, -18.63, 24.27, 24.32
0.73, -0.72, -0.24, -30.95, 27.21, 32.32
0.48, -0.78, -0.28, -44.51, 33.52, 36.90
0.31, -0.79, -0.31, -47.82, 35.64, 37.71
0.26, -0.80, -0.36, -41.19, 3.73, 30.44
0.20, -0.83, -0.47, -29.22, -26.31, 22.22
-0.01, -0.87, -0.55, -12.81, -49.00, -2.21
-0.28, -0.91, -0.59, -6.08, -36.29, -21.91
-0.35, -0.93, -0.57, -2.39, 4.55, -35.25
-0.16, -0.87, -0.51, 7.64, 8.34, -47.55
0.10, -0.82, -0.48, 12.84, -0.53, -45.91
0.33, -0.82, -0.50, 11.92, -4.33, -33.15
0.52, -0.77, -0.48, 7.83, 4.95, -20.29
0.63, -0.70, -0.39, 2.43, 9.80, -6.62
0.71, -0.68, -0.29, -10.33, 19.66, 10.42
0.77, -0.70, -0.24, -21.44, 23.74, 23.82
0.71, -0.72, -0.25, -33.42, 27.37, 32.70
0.54, -0.77, -0.27, -46.37, 29.33, 36.65
0.38, -0.79, -0.29, -49.80, 23.72, 37.13
0.30, -0.80, -0.35, -45.42, 5.09, 33.93
0.22, -0.83, -0.44, -36.70, -20.44, 26.42
0.06, -0.86, -0.53, -19.88, -40.35, 7.74
-0.20, -0.90, -0.57, -7.67, -43.03, -17.59
-0.34, -0.93, -0.60, -1.89, -12.31, -30.43
-0.24, -0.89, -0.58, 9.24, 6.19, -47.20
-0.02, -0.83, -0.53, 19.97, -2.03, -55.31
0.18, -0.84, -0.52, 19.74, -5.66, -47.22
0.42, -0.81, -0.51, 14.31, 4.24, -31.61
0.62, -0.72, -0.42, 7.04, 16.65, -10.83
0.77, -0.65, -0.30, -1.30, 20.01, 3.80
0.84, -0.65, -0.21, -14.38, 20.05, 20.92
0.80, -0.69, -0.20, -25.24, 22.74, 28.61
0.64, -0.76, -0.24, -42.39, 30.61, 35.16
0.41, -0.79, -0.28, -51.91, 34.11, 36.86
0.30, -0.79, -0.32, -51.77, 25.33, 35.36
0.28, -0.80, -0.39, -44.58, -9.94, 31.50
0.21, -0.83, -0.49, -27.94, -38.50, 21.61
0.02, -0.86, -0.54, -14.09, -48.38, 0.13
-0.24, -0.92, -0.57, -5.80, -36.10, -20.17
-0.32, -0.95, -0.59, -1.04, 2.83, -32.05
-0.15, -0.88, -0.57, 10.81, 15.22, -45.99
0.05, -0.82, -0.54, 20.58, -3.18, -52.78
0.24, -0.83, -0.53, 21.51, -11.54, -43.86
0.43, -0.82, -0.51, 17.52, -2.77, -31.67
0.60, -0.74, -0.41, 6.08, 6.96, -14.64
0.73, -0.68, -0.26, -3.76, 17.06, 3.27
0.82, -0.66, -0.19, -18.60, 17.81, 17.58
0.79, -0.69, -0.20, -32.34, 26.08, 30.79
0.62, -0.74, -0.25, -48.44, 33.09, 36.26
0.41, -0.75, -0.30, -58.15, 38.66, 41.39
0.30, -0.73, -0.35, -57.31, 30.99, 42.39
0.29, -0.74, -0.42, -47.23, -4.80, 40.14
0.21, -0.78, -0.52, -31.95, -33.88, 31.61
0.03, -0.84, -0.57, -16.78, -42.72, 13.69
-0.20, -0.92, -0.59, -5.67, -38.67, -10.30
-0.35, -0.97, -0.63, -2.23, 2.68, -20.80
-0.22, -0.93, -0.58, 8.52, 23.12, -39.15
0.01, -0.88, -0.52, 17.76, 8.75, -48.16
0.22, -0.89, -0.50, 20.90, -9.97, -46.13
0.40, -0.87, -0.51, 19.53, -16.22, -35.97
0.51, -0.79, -0.46, 12.13, 1.68, -22.06
0.64, -0.72, -0.34, -1.44, 21.60, -4.67
0.75, -0.68, -0.21, -13.21, 25.00, 9.79
0.78, -0.66, -0.19, -23.56, 26.46, 20.21
0.67, -0.68, -0.26, -35.29, 30.02, 29.43
0.45, -0.73, -0.32, -47.29, 36.13, 33.90
0.29, -0.73, -0.35, -49.69, 37.54, 34.50
0.26, -0.74, -0.39, -42.80, 18.45, 34.46
0.27, -0.80, -0.45, -29.34, -14.17, 29.62
0.14, -0.85, -0.51, -18.68, -27.83, 18.54
-0.09, -0.91, -0.53, -10.42, -25.97, -4.61
-0.28, -0.94, -0.54, -6.09, -11.49, -20.75
-0.21, -0.91, -0.54, 2.98, 11.13, -34.58
0.01, -0.86, -0.52, 11.37, -0.43, -48.05
0.17, -0.85, -0.51, 18.52, -15.84, -47.55
0.29, -0.86, -0.52, 16.91, -15.55, -40.34
0.44, -0.82, -0.52, 14.02, 3.17, -29.74
0.55, -0.74, -0.45, 9.33, 11.20, -20.91
0.61, -0.68, -0.34, -4.42, 22.66, -2.78
0.68, -0.66, -0.26, -15.27, 27.46, 10.42
0.68, -0.64, -0.26, -23.02, 24.05, 16.07
0.53, -0.65, -0.32, -34.05, 27.76, 22.96
0.34, -0.71, -0.35, -41.43, 33.20, 23.64
0.26, -0.72, -0.37, -40.72, 30.07, 24.50
0.28, -0.74, -0.41, -35.61, 19.46, 26.23
0.32, -0.78, -0.45, -29.35, 4.42, 25.57
0.27, -0.83, -0.46, -22.68, -6.10, 20.78
0.19, -0.87, -0.46, -16.14, 0.03, 16.19
