ax,ay,az,gx,gy,gz
0.63, -0.47, -0.44, 3.94, 18.19, 6.58
0.66, -0.44, -0.36, -9.41, 16.32, 23.82
0.62, -0.49, -0.37, -16.91, 16.71, 36.03
0.50, -0.56, -0.43, -29.40, 20.77, 39.88
0.33, -0.62, -0.46, -36.41, 25.58, 41.89
0.22, -0.69, -0.50, -38.05, 15.93, 40.46
0.21, -0.78, -0.59, -33.66, -11.61, 38.81
0.20, -0.90, -0.63, -22.07, -41.40, 28.11
0.08, -0.99, -0.70, -11.69, -56.43, 6.31
-0.16, -1.03, -0.74, -5.59, -25.88, -13.68
-0.27, -1.01, -0.69, -4.70, 18.12, -36.16
-0.16, -0.94, -0.65, -0.84, 40.23, -48.68
0.05, -0.85, -0.63, 1.30, 31.55, -53.05
0.22, -0.78, -0.58, 0.00, 19.66, -45.14
0.39, -0.70, -0.51, -4.12, 16.39, -26.17
0.64, -0.57, -0.46, -7.09, 24.79, -1.33
0.77, -0.44, -0.38, -10.92, 8.77, 11.59
0.66, -0.38, -0.34, -14.53, 5.96, 23.12
0.49, -0.46, -0.38, -24.05, 12.90, 31.83
0.29, -0.59, -0.43, -32.84, 24.46, 35.61
0.17, -0.68, -0.47, -34.17, 21.24, 36.52
0.19, -0.73, -0.53, -26.73, -2.84, 33.84
0.24, -0.84, -0.61, -16.26, -31.72, 26.17
0.14, -0.96, -0.67, -7.13, -45.17, 8.45
-0.15, -1.04, -0.69, -3.22, -31.15, -15.11
-0.26, -1.03, -0.68, -3.35, 18.83, -28.14
-0.10, -0.93, -0.65, 2.23, 35.78, -44.06
0.07, -0.82, -0.62, 5.87, 31.72, -46.08
0.25, -0.75, -0.57, 3.27, 24.51, -37.12
0.41, -0.69, -0.50, -2.90, 24.81, -18.57
0.61, -0.57, -0.43, -10.97, 22.12, 3.07
0.72, -0.47, -0.37, -15.79, 12.76, 19.22
0.67, -0.43, -0.36, -22.61, -0.61, 24.84
0.48, -0.50, -0.40, -30.32, 3.14, 31.76
0.29, -0.63, -0.45, -35.22, 11.71, 34.21
0.21, -0.72, -0.52, -34.22, 15.39, 34.58
0.20, -0.80, -0.59, -26.54, -2.26, 30.30
0.17, -0.90, -0.62, -16.14, -25.33, 16.37
0.01, -1.01, -0.65, -9.04, -34.90, -4.67
-0.17, -1.05, -0.68, -10.13, -2.05, -18.53
-0.15, -0.96, -0.66, -4.88, 21.35, -35.01
0.00, -0.83, -0.62, 0.00, 23.19, -42.27
0.15, -0.76, -0.61, 0.49, 15.18, -41.84
0.24, -0.73, -0.57, -4.33, 13.44, -32.78
0.40, -0.65, -0.49, -10.95, 22.78, -14.77
