ax,ay,az,gx,gy,gz
0.31,-0.64,-0.5,-23.03,17.81,35.78
0.25,-0.65,-0.52,-31.8,16.18,36.97
0.16,-0.69,-0.55,-39.85,3.44,39.11
0.07,-0.72,-0.61,-43.07,-17.3,37.71
0.01,-0.8,-0.69,-34.69,-40.3,30.25
-0.1,-0.87,-0.76,-20.78,-48.42,10.67
-0.33,-0.92,-0.81,-9.81,-35.13,-17.1
-0.55,-0.91,-0.8,-7.38,1.13,-34.33
-0.5,-0.84,-0.75,-0.99,38.37,-42.68
-0.24,-0.75,-0.68,1.33,50.41,-43.15
0.01,-0.67,-0.61,-1.7,38.49,-35.17
0.23,-0.6,-0.56,-8.2,25.37,-12.8
0.41,-0.5,-0.52,-16.27,19.39,17.86
0.48,-0.42,-0.47,-23.9,15.32,29.84
0.42,-0.42,-0.47,-31.3,13.94,39.0
0.27,-0.5,-0.5,-41.16,15.49,47.5
0.12,-0.65,-0.51,-47.38,1.53,51.56
0.03,-0.81,-0.58,-40.43,-20.64,46.8
-0.08,-0.89,-0.73,-23.34,-32.16,28.09
-0.36,-0.96,-0.8,-11.68,-29.66,-5.24
-0.67,-0.98,-0.76,-5.65,0.74,-26.55
-0.6,-0.92,-0.73,1.99,37.9,-38.98
-0.31,-0.81,-0.68,7.49,42.64,-48.63
-0.1,-0.75,-0.6,8.86,26.21,-50.68
0.08,-0.73,-0.57,6.59,10.18,-43.16
0.27,-0.66,-0.58,4.76,4.95,-22.24
0.4,-0.54,-0.53,-1.1,2.69,-5.03
0.41,-0.44,-0.46,-11.32,11.46,16.64
0.4,-0.42,-0.46,-22.93,23.23,34.17
0.33,-0.47,-0.49,-31.06,22.85,42.26
0.18,-0.53,-0.51,-38.56,15.0,48.83
0.1,-0.63,-0.54,-38.41,-8.02,52.03
0.07,-0.77,-0.63,-24.2,-35.66,42.28
-0.15,-0.91,-0.76,-7.07,-50.21,18.88
-0.53,-1.02,-0.79,2.97,-33.45,-16.69
-0.76,-1.04,-0.74,4.78,14.37,-35.07
-0.56,-0.96,-0.69,10.08,39.69,-49.46
-0.23,-0.84,-0.64,12.89,34.62,-59.78
-0.01,-0.8,-0.6,13.23,16.07,-56.9
0.21,-0.75,-0.62,11.81,11.78,-39.22
0.4,-0.62,-0.61,8.9,8.25,-18.76
0.42,-0.47,-0.49,-3.22,5.29,-1.01
0.41,-0.42,-0.45,-14.51,22.38,27.81
0.41,-0.42,-0.45,-28.63,27.05,38.56
0.31,-0.46,-0.43,-36.55,26.14,46.92
0.15,-0.55,-0.44,-43.61,16.63,54.07
0.06,-0.71,-0.51,-39.33,-16.67,52.12
-0.0,-0.85,-0.63,-19.25,-41.3,40.26
-0.2,-1.01,-0.74,-12.54,-53.56,7.98
-0.59,-1.07,-0.73,-6.03,-33.03,-21.76
-0.7,-0.98,-0.7,-0.31,18.69,-36.73
-0.41,-0.87,-0.69,9.39,34.79,-47.33
-0.16,-0.8,-0.63,12.23,20.59,-60.05
-0.01,-0.82,-0.57,7.34,5.67,-54.35
0.22,-0.77,-0.58,4.37,4.34,-29.77
0.46,-0.61,-0.59,4.12,-5.7,-12.59
0.47,-0.47,-0.49,-4.28,5.23,9.96
0.46,-0.43,-0.45,-17.77,24.41,37.07
0.4,-0.45,-0.42,-28.46,34.6,42.12
0.24,-0.51,-0.41,-41.27,34.17,52.85
0.14,-0.61,-0.43,-51.98,12.75,60.06
0.15,-0.72,-0.49,-43.53,-25.6,60.68
0.11,-0.84,-0.67,-22.7,-51.28,46.75
-0.22,-0.96,-0.75,-15.63,-56.57,10.29
-0.74,-1.06,-0.7,-8.34,-27.64,-19.45
-0.81,-1.05,-0.7,-2.32,18.84,-32.71
-0.5,-0.96,-0.69,5.0,38.09,-44.45
-0.18,-0.86,-0.64,9.08,27.63,-60.96
