ax,ay,az,gx,gy,gz
-0.36,-0.77,-0.47,2.47,18.63,18.11
-0.38,-0.98,-0.44,1.84,30.86,8.14
-0.32,-1.13,-0.47,-0.55,32.83,-3.06
-0.23,-1.12,-0.52,1.17,24.94,-6.42
-0.16,-1.0,-0.5,0.72,15.66,-11.42
-0.15,-1.0,-0.45,-5.96,2.6,-23.57
-0.2,-1.01,-0.4,-17.92,-3.38,-33.27
-0.24,-0.99,-0.29,-37.35,1.25,-32.15
-0.2,-0.9,-0.3,-45.37,2.99,-24.88
-0.13,-0.74,-0.39,-48.68,-6.75,-16.91
-0.09,-0.59,-0.41,-45.28,-24.34,-8.92
-0.04,-0.51,-0.48,-38.36,-37.91,2.05
-0.01,-0.46,-0.54,-33.02,-48.81,15.26
-0.0,-0.44,-0.56,-27.67,-42.29,28.74
-0.0,-0.41,-0.63,-10.22,-31.55,38.36
-0.06,-0.41,-0.63,-2.04,-30.5,43.53
-0.18,-0.53,-0.64,12.26,-14.91,42.83
-0.33,-0.69,-0.61,14.96,-5.92,25.7
-0.45,-0.88,-0.57,22.14,23.65,12.77
-0.44,-1.05,-0.55,23.21,50.47,1.51
-0.39,-1.17,-0.49,22.43,64.0,-9.75
-0.39,-1.17,-0.41,12.85,63.4,-30.12
-0.37,-1.12,-0.32,-2.33,61.01,-35.94
-0.21,-1.07,-0.32,-10.28,52.81,-33.06
-0.04,-0.95,-0.28,-31.52,26.34,-24.32
0.01,-0.84,-0.21,-51.86,-2.81,-7.15
0.07,-0.69,-0.26,-58.91,-31.6,8.32
0.05,-0.53,-0.36,-57.71,-64.0,13.72
-0.03,-0.43,-0.48,-48.73,-64.0,18.08
-0.12,-0.41,-0.63,-31.41,-64.0,17.52
-0.26,-0.44,-0.55,-28.72,-64.0,12.74
-0.29,-0.54,-0.68,2.47,10.66,25.6
-0.22,-0.59,-0.84,23.75,34.74,25.69
-0.29,-0.68,-0.71,18.93,53.43,22.06
-0.29,-0.81,-0.54,17.77,58.28,21.66
-0.23,-0.96,-0.44,19.73,53.77,14.89
-0.24,-1.06,-0.47,23.94,32.79,-6.33
-0.34,-1.12,-0.39,11.82,29.35,-18.83
-0.33,-1.12,-0.35,9.24,41.58,-21.72
-0.27,-1.02,-0.3,-9.82,42.92,-27.49
-0.23,-0.93,-0.2,-26.6,41.53,-21.01
-0.11,-0.85,-0.18,-44.45,19.84,-11.77
-0.01,-0.77,-0.21,-60.23,-27.71,-6.85
0.01,-0.68,-0.31,-64.0,-63.43,1.56
-0.01,-0.56,-0.46,-54.87,-64.0,7.22
-0.1,-0.47,-0.59,-42.36,-64.0,8.16
-0.3,-0.46,-0.68,-25.58,-47.76,1.22
-0.27,-0.5,-0.86,9.5,22.46,16.91
-0.17,-0.56,-0.9,25.55,56.78,18.21
-0.15,-0.69,-0.75,23.39,64.0,24.2
-0.14,-0.85,-0.59,21.52,64.0,27.15
-0.15,-0.95,-0.53,26.78,48.21,15.0
-0.3,-1.03,-0.42,18.41,34.85,-3.14
-0.36,-1.08,-0.42,26.18,41.67,-18.09
-0.38,-1.07,-0.32,6.52,41.91,-36.45
-0.41,-1.06,-0.14,-18.89,63.34,-35.54
-0.23,-1.0,-0.15,-30.49,64.0,-24.45
-0.02,-0.83,-0.18,-44.63,28.06,-13.04
0.09,-0.68,-0.2,-58.5,-30.09,-0.01
0.11,-0.57,-0.32,-60.15,-64.0,10.94
0.03,-0.46,-0.45,-50.09,-64.0,11.97
-0.1,-0.43,-0.58,-37.02,-64.0,11.44
-0.21,-0.45,-0.72,-12.65,-21.87,13.5
-0.29,-0.52,-0.74,-4.56,12.49,11.44
-0.24,-0.67,-0.78,11.93,52.29,20.2
-0.11,-0.79,-0.78,20.61,64.0,20.52
-0.04,-0.87,-0.69,20.94,63.08,23.74
-0.03,-0.97,-0.54,19.93,44.8,25.41
-0.1,-1.08,-0.52,31.89,29.36,7.84
-0.33,-1.15,-0.44,25.71,13.99,-25.97
-0.58,-1.19,-0.22,-4.14,41.03,-46.0
-0.52,-1.16,-0.14,-16.63,64.0,-45.48
-0.22,-1.0,-0.17,-27.56,64.0,-36.94
0.07,-0.82,-0.16,-48.48,24.69,-19.69
0.18,-0.7,-0.22,-63.4,-32.38,-0.54
0.17,-0.55,-0.32,-62.7,-64.0,9.59
0.05,-0.38,-0.47,-51.41,-64.0,9.88
-0.1,-0.32,-0.61,-38.76,-63.71,12.55
-0.18,-0.35,-0.74,-17.19,-22.77,15.43
-0.23,-0.45,-0.78,-6.07,12.01,19.64
-0.2,-0.64,-0.75,-0.44,47.66,26.82
-0.12,-0.79,-0.73,2.8,61.31,26.39
-0.02,-0.87,-0.67,12.69,59.49,34.32
0.05,-0.96,-0.59,23.69,35.54,36.49
-0.02,-1.13,-0.58,41.97,3.18,13.05
-0.35,-1.24,-0.36,16.48,2.98,-25.63
-0.63,-1.3,-0.13,-13.0,42.84,-39.44
-0.52,-1.19,-0.15,-25.23,64.0,-48.01
-0.2,-0.98,-0.15,-42.18,62.88,-41.2
0.07,-0.85,-0.19,-57.42,14.79,-25.31
0.18,-0.72,-0.27,-64.0,-50.32,-14.04
0.13,-0.56,-0.38,-63.81,-64.0,-5.91
0.0,-0.41,-0.49,-57.3,-64.0,-1.05
-0.06,-0.3,-0.67,-40.43,-46.74,13.21
-0.09,-0.26,-0.77,-19.84,-10.62,16.69
-0.12,-0.33,-0.79,-1.56,17.35,25.05
-0.14,-0.55,-0.73,2.19,36.87,28.22
-0.1,-0.8,-0.71,6.52,50.79,27.61
-0.01,-0.88,-0.66,10.58,51.22,34.47
0.04,-0.98,-0.54,16.34,31.29,37.68
-0.0,-1.11,-0.51,27.53,-3.46,22.73
-0.24,-1.21,-0.48,33.61,-1.57,-14.82
-0.56,-1.25,-0.21,-3.91,18.63,-41.96
-0.61,-1.22,-0.19,-15.26,64.0,-46.41
-0.28,-1.04,-0.25,-20.2,64.0,-43.78
0.05,-0.86,-0.26,-32.62,47.31,-30.11
0.19,-0.77,-0.26,-49.43,-17.01,-13.66
